title,publisher,article_text,category,bias_label,url,published_date,topic_id
Congress Faces Showdown Over Federal Budget Priorities,HuffPost,"Lawmakers clashed over spending allocations as the deadline looms for a government funding deal, with defense and social program funding at the center of debate.",POLITICS,Left,https://www.huffpost.com/entry/congress-budget-battle_n_1001,2024-01-15,
Immigration Policy Overhaul Stalls Amid Partisan Divide,HuffPost,"A bipartisan immigration bill collapsed after last-minute opposition from hardliners on both sides, leaving millions of immigrants in legal limbo.",POLITICS,Left,https://www.huffpost.com/entry/immigration-policy-debate_n_1002,2024-01-16,
Global Climate Summit Yields Mixed Results On Emission Targets,HuffPost,World leaders agreed to new carbon reduction goals but critics say the targets fall far short of what scientists recommend to avert catastrophe.,POLITICS,Left,https://www.huffpost.com/entry/climate-summit-results_n_1003,2024-01-17,
Healthcare Costs Continue To Rise Despite Reform Promises,HuffPost,"New data shows that out-of-pocket healthcare spending has increased 12 percent over the past year, squeezing middle-class families the hardest.",POLITICS,Left,https://www.huffpost.com/entry/healthcare-costs-rising_n_1004,2024-01-18,
Gun Control Debate Reignites After Series Of Mass Shootings,HuffPost,Activists and lawmakers renew calls for stricter firearm regulations following a string of deadly shootings in multiple states.,POLITICS,Left,https://www.huffpost.com/entry/gun-control-debate_n_1005,2024-01-19,
Big Tech Faces Tough Questions In Antitrust Hearings,HuffPost,"CEOs of major tech companies testified before Congress about market dominance, data privacy concerns, and their impact on small businesses.",POLITICS,Left,https://www.huffpost.com/entry/tech-antitrust-hearings_n_1006,2024-01-20,
Election Security Measures Ramp Up Ahead Of 2024 Primaries,HuffPost,Federal and state officials announce enhanced cybersecurity protocols and paper ballot backups to protect the integrity of upcoming elections.,POLITICS,Left,https://www.huffpost.com/entry/election-security-2024_n_1007,2024-01-21,
Fight For Higher Minimum Wage Gains Momentum In Several States,HuffPost,Workers and advocacy groups push for a $20 federal minimum wage as cost of living continues to outpace entry-level earnings across the country.,POLITICS,Left,https://www.huffpost.com/entry/minimum-wage-fight_n_1008,2024-01-22,
Supreme Court Rulings Signal Shift On Executive Power Limits,HuffPost,"A series of recent decisions have curtailed federal agency authority, raising questions about the future of environmental and financial regulations.",POLITICS,Left,https://www.huffpost.com/entry/supreme-court-rulings_n_1009,2024-01-23,
Education Funding Disparities Widen Between Wealthy And Poor Districts,HuffPost,A new report reveals that per-student spending in affluent school districts is nearly three times higher than in low-income communities.,POLITICS,Left,https://www.huffpost.com/entry/education-funding-gaps_n_1010,2024-01-24,
